ï»¿BinaTesisatNo;Daire;Dukkan;Isinma;katSayisi;Alan(m²);Kapasite(m³/h)
102;2;5;MERKEZÄ°;7;720;18,5
103;4;2;BÄ°REYSEL;3;540;16,5
104;2;1;BÄ°REYSEL;3;280;9,5
105;5;2;BÄ°REYSEL;7;680;18,5
106;11;2;BÄ°REYSEL;13;1380;30,2
107;5;2;BÄ°REYSEL;7;740;18,5
108;1;2;BÄ°REYSEL;3;320;9,5
109;2;1;BÄ°REYSEL;3;300;9,5
110;14;4;MERKEZÄ°;9;1880;40
111;1;1;MERKEZÄ°;1;200;7
112;3;2;BÄ°REYSEL;5;500;14
113;3;1;BÄ°REYSEL;2;380;11,8
114;5;5;BÄ°REYSEL;5;940;24,5
115;2;1;BÄ°REYSEL;3;300;9,5
116;4;2;MERKEZÄ°;3;620;16,5
117;1;2;MERKEZÄ°;3;300;9,5
118;2;6;BÄ°REYSEL;4;820;20,5
119;18;1;MERKEZÄ°;19;1760;42
120;2;2;MERKEZÄ°;2;360;11,8
121;5;2;BÄ°REYSEL;7;680;18,5
122;9;2;MERKEZÄ°;11;1060;26,5
123;14;1;MERKEZÄ°;15;1620;33,9
124;1;1;BÄ°REYSEL;1;200;7
125;4;2;MERKEZÄ°;3;620;16,5
126;2;5;BÄ°REYSEL;7;700;18,5
127;1;6;BÄ°REYSEL;7;680;18,5
128;4;1;MERKEZÄ°;5;480;14
129;3;1;BÄ°REYSEL;2;380;11,8
130;2;2;BÄ°REYSEL;2;400;11,8
131;1;2;BÄ°REYSEL;3;320;9,5
132;5;2;BÄ°REYSEL;7;720;18,5
133;3;2;BÄ°REYSEL;5;460;14
134;2;1;BÄ°REYSEL;3;320;9,5
135;5;4;BÄ°REYSEL;9;920;22,5
136;16;2;BÄ°REYSEL;9;1820;40
137;2;2;BÄ°REYSEL;2;400;11,8
138;4;5;BÄ°REYSEL;9;900;22,5
139;2;2;BÄ°REYSEL;2;420;11,8
140;5;2;BÄ°REYSEL;7;740;18,5
141;3;2;BÄ°REYSEL;5;480;14
142;5;1;BÄ°REYSEL;3;580;16,5
143;5;2;BÄ°REYSEL;7;760;18,5
144;2;2;BÄ°REYSEL;2;440;11,8
145;4;6;MERKEZÄ°;5;1000;24,5
146;5;1;BÄ°REYSEL;3;600;16,5
147;1;1;MERKEZÄ°;1;180;7
148;4;0;MERKEZÄ°;2;420;11,8
149;4;2;MERKEZÄ°;3;660;16,5
150;1;1;MERKEZÄ°;1;200;7
151;3;1;MERKEZÄ°;2;400;11,8
152;3;3;BÄ°REYSEL;3;600;16,5
153;2;1;MERKEZÄ°;3;300;9,5
154;8;2;BÄ°REYSEL;5;960;24,5
155;1;2;BÄ°REYSEL;3;280;9,5
156;3;1;BÄ°REYSEL;2;420;11,8
157;5;1;BÄ°REYSEL;3;560;16,5
158;5;1;BÄ°REYSEL;3;600;16,5
159;2;1;BÄ°REYSEL;3;300;9,5
160;1;2;BÄ°REYSEL;3;320;9,5
161;5;0;BÄ°REYSEL;5;480;14
162;1;1;BÄ°REYSEL;1;200;7
163;5;2;MERKEZÄ°;7;640;18,5
164;3;2;MERKEZÄ°;5;540;14
165;3;2;BÄ°REYSEL;5;460;14
166;5;2;MERKEZÄ°;7;760;18,5
167;4;1;BÄ°REYSEL;5;500;14
168;4;6;BÄ°REYSEL;5;1080;24,5
169;5;2;BÄ°REYSEL;7;720;18,5
170;1;2;MERKEZÄ°;3;300;9,5
171;5;1;BÄ°REYSEL;3;660;16,5
172;4;2;BÄ°REYSEL;3;640;16,5
173;5;1;BÄ°REYSEL;3;580;16,5
174;5;2;BÄ°REYSEL;7;740;18,5
175;4;1;BÄ°REYSEL;5;520;14
176;5;2;BÄ°REYSEL;7;740;18,5
177;3;2;BÄ°REYSEL;5;460;14
178;2;4;MERKEZÄ°;3;580;16,5
179;7;1;BÄ°REYSEL;4;720;20,5
180;3;2;BÄ°REYSEL;5;480;14
181;4;1;BÄ°REYSEL;5;540;14
182;20;2;MERKEZÄ°;11;2100;47
183;1;2;BÄ°REYSEL;3;280;9,5
184;4;2;MERKEZÄ°;3;560;16,5
185;4;2;BÄ°REYSEL;3;580;16,5
186;2;2;BÄ°REYSEL;2;420;11,8
187;12;2;MERKEZÄ°;7;1320;32
188;5;2;BÄ°REYSEL;7;700;18,5
189;3;2;BÄ°REYSEL;5;480;14
190;1;2;MERKEZÄ°;3;300;9,5
191;3;1;MERKEZÄ°;2;380;11,8
192;2;1;BÄ°REYSEL;3;320;9,5
193;3;1;BÄ°REYSEL;2;420;11,8
194;5;2;BÄ°REYSEL;7;640;18,5
195;1;1;BÄ°REYSEL;1;220;7
196;1;1;BÄ°REYSEL;1;200;7
197;2;1;MERKEZÄ°;3;320;9,5
198;2;2;BÄ°REYSEL;2;400;11,8
199;5;1;BÄ°REYSEL;3;620;16,5
200;3;1;BÄ°REYSEL;2;380;11,8
201;18;2;BÄ°REYSEL;10;1840;43
202;2;1;BÄ°REYSEL;3;280;9,5
203;1;2;BÄ°REYSEL;3;280;9,5
204;1;2;BÄ°REYSEL;3;320;9,5
205;16;5;BÄ°REYSEL;10;1960;45
206;2;6;BÄ°REYSEL;4;780;20,5
207;1;1;MERKEZÄ°;1;220;7
208;5;2;BÄ°REYSEL;7;700;18,5
209;5;2;BÄ°REYSEL;7;640;18,5
210;4;2;MERKEZÄ°;3;560;16,5
211;4;5;BÄ°REYSEL;9;940;22,5
212;3;1;BÄ°REYSEL;2;420;11,8
213;3;1;MERKEZÄ°;2;420;11,8
214;2;1;BÄ°REYSEL;3;320;9,5
215;2;1;BÄ°REYSEL;3;280;9,5
216;3;1;MERKEZÄ°;2;400;11,8
217;3;2;MERKEZÄ°;5;520;14
218;4;1;BÄ°REYSEL;5;460;14
219;3;2;BÄ°REYSEL;5;540;14
220;3;2;BÄ°REYSEL;5;540;14
221;8;1;BÄ°REYSEL;9;960;22,5
222;5;2;BÄ°REYSEL;7;680;18,5
223;14;3;MERKEZÄ°;17;1560;38
224;4;2;MERKEZÄ°;3;620;16,5
225;3;2;MERKEZÄ°;5;480;14
226;1;2;BÄ°REYSEL;3;320;9,5
227;1;2;BÄ°REYSEL;3;300;9,5
228;5;1;BÄ°REYSEL;3;560;16,5
229;2;2;BÄ°REYSEL;2;400;11,8
230;2;2;MERKEZÄ°;2;440;11,8
231;1;1;MERKEZÄ°;1;200;7
232;5;2;BÄ°REYSEL;7;760;18,5
233;1;0;BÄ°REYSEL;1;100;3,5
234;5;1;BÄ°REYSEL;3;640;16,5
235;5;2;BÄ°REYSEL;7;760;18,5
236;17;6;MERKEZÄ°;10;2340;48,5
237;5;1;BÄ°REYSEL;3;620;16,5
238;16;2;BÄ°REYSEL;9;1780;40
239;4;2;MERKEZÄ°;3;600;16,5
240;3;2;BÄ°REYSEL;5;540;14
241;2;2;BÄ°REYSEL;2;440;11,8
242;5;2;BÄ°REYSEL;7;640;18,5
243;9;1;BÄ°REYSEL;5;960;24,5
244;2;1;BÄ°REYSEL;3;300;9,5
245;4;1;BÄ°REYSEL;5;540;14
246;4;1;MERKEZÄ°;5;520;14
247;3;1;BÄ°REYSEL;2;420;11,8
248;4;2;MERKEZÄ°;3;620;16,5
249;3;1;BÄ°REYSEL;2;420;11,8
250;5;2;BÄ°REYSEL;7;680;18,5
251;3;1;BÄ°REYSEL;2;400;11,8
252;3;2;BÄ°REYSEL;5;520;14
253;3;2;BÄ°REYSEL;5;520;14
254;1;2;BÄ°REYSEL;3;300;9,5
255;1;2;BÄ°REYSEL;3;280;9,5
256;5;2;BÄ°REYSEL;7;640;18,5
257;15;1;BÄ°REYSEL;8;1560;35,9
258;1;3;MERKEZÄ°;2;420;11,8
259;2;6;BÄ°REYSEL;4;820;20,5
260;2;6;BÄ°REYSEL;4;780;20,5
261;1;4;BÄ°REYSEL;5;500;14
262;3;1;BÄ°REYSEL;2;380;11,8
263;3;1;BÄ°REYSEL;2;400;11,8
264;3;1;BÄ°REYSEL;2;360;11,8
265;14;2;MERKEZÄ°;8;1540;35,9
266;2;1;BÄ°REYSEL;3;280;9,5
267;5;2;BÄ°REYSEL;7;640;18,5
268;12;1;BÄ°REYSEL;13;1240;30,2
269;1;2;BÄ°REYSEL;3;280;9,5
270;2;1;BÄ°REYSEL;3;320;9,5
271;11;1;BÄ°REYSEL;6;1180;28,5
272;1;1;BÄ°REYSEL;1;220;7
273;2;1;BÄ°REYSEL;3;320;9,5
274;3;1;BÄ°REYSEL;2;400;11,8
275;2;1;BÄ°REYSEL;3;280;9,5
276;1;2;BÄ°REYSEL;3;300;9,5
277;2;1;BÄ°REYSEL;3;280;9,5
278;5;2;MERKEZÄ°;7;740;18,5
279;18;2;BÄ°REYSEL;10;2120;43
280;2;3;BÄ°REYSEL;5;540;14
281;3;2;BÄ°REYSEL;5;520;14
282;4;2;BÄ°REYSEL;3;540;16,5
283;4;2;MERKEZÄ°;3;560;16,5
284;9;2;BÄ°REYSEL;11;1000;26,5
285;12;2;BÄ°REYSEL;7;1520;32
286;1;2;BÄ°REYSEL;3;280;9,5
287;5;1;BÄ°REYSEL;3;600;16,5
288;9;1;MERKEZÄ°;5;960;24,5
289;3;2;BÄ°REYSEL;5;460;14
290;2;1;BÄ°REYSEL;3;320;9,5
291;20;5;BÄ°REYSEL;10;2460;51,6
292;1;1;BÄ°REYSEL;1;220;7
293;10;1;BÄ°REYSEL;11;1100;26,5
294;1;1;BÄ°REYSEL;1;200;7
295;5;2;BÄ°REYSEL;7;760;18,5
296;4;1;BÄ°REYSEL;5;520;14
297;3;1;BÄ°REYSEL;2;400;11,8
298;5;2;BÄ°REYSEL;7;680;18,5
299;7;1;BÄ°REYSEL;4;780;20,5
300;4;1;BÄ°REYSEL;5;500;14
301;1;2;BÄ°REYSEL;3;280;9,5
302;2;2;BÄ°REYSEL;2;400;11,8
303;3;1;BÄ°REYSEL;2;440;11,8
304;4;1;BÄ°REYSEL;5;540;14
305;1;1;BÄ°REYSEL;1;200;7
306;4;1;MERKEZÄ°;5;480;14
307;2;2;BÄ°REYSEL;2;380;11,8
308;4;3;BÄ°REYSEL;7;640;18,5
309;1;5;BÄ°REYSEL;3;600;16,5
310;2;1;BÄ°REYSEL;3;320;9,5
311;3;1;BÄ°REYSEL;2;380;11,8
312;4;5;BÄ°REYSEL;9;900;22,5
313;2;1;BÄ°REYSEL;3;280;9,5
314;1;2;BÄ°REYSEL;3;320;9,5
315;4;4;BÄ°REYSEL;4;860;20,5
316;2;1;BÄ°REYSEL;3;300;9,5
317;1;2;BÄ°REYSEL;3;300;9,5
318;5;1;MERKEZÄ°;3;620;16,5
319;2;2;BÄ°REYSEL;2;360;11,8
320;2;2;BÄ°REYSEL;2;420;11,8
321;4;1;BÄ°REYSEL;5;520;14
322;20;2;BÄ°REYSEL;11;2060;47
323;5;1;BÄ°REYSEL;3;580;16,5
324;5;1;MERKEZÄ°;3;620;16,5
325;4;1;BÄ°REYSEL;5;480;14
326;4;2;BÄ°REYSEL;3;560;16,5
327;2;2;BÄ°REYSEL;2;400;11,8
328;3;2;BÄ°REYSEL;5;520;14
329;6;1;BÄ°REYSEL;7;740;18,5
330;3;6;BÄ°REYSEL;9;860;22,5
331;5;2;BÄ°REYSEL;7;720;18,5
332;4;2;BÄ°REYSEL;3;580;16,5
333;0;1;BÄ°REYSEL;1;100;3,5
334;2;2;BÄ°REYSEL;2;380;11,8
335;4;2;BÄ°REYSEL;3;600;16,5
336;0;4;BÄ°REYSEL;2;440;11,8
337;4;2;BÄ°REYSEL;3;580;16,5
338;3;5;BÄ°REYSEL;4;800;20,5
339;1;2;BÄ°REYSEL;3;300;9,5
340;3;1;BÄ°REYSEL;2;400;11,8
341;2;1;BÄ°REYSEL;3;300;9,5
342;5;2;MERKEZÄ°;7;760;18,5
343;1;1;BÄ°REYSEL;1;200;7
344;2;2;MERKEZÄ°;2;380;11,8
345;4;2;BÄ°REYSEL;3;660;16,5
346;1;1;BÄ°REYSEL;1;220;7
347;16;5;BÄ°REYSEL;10;2060;45
348;11;2;BÄ°REYSEL;13;1200;30,2
349;2;1;BÄ°REYSEL;3;300;9,5
350;4;2;BÄ°REYSEL;3;640;16,5
351;3;2;BÄ°REYSEL;5;480;14
352;1;1;BÄ°REYSEL;1;200;7
353;4;1;MERKEZÄ°;5;540;14
354;5;2;BÄ°REYSEL;7;700;18,5
355;3;5;BÄ°REYSEL;4;860;20,5
356;5;4;BÄ°REYSEL;9;960;22,5
357;7;1;BÄ°REYSEL;4;840;20,5
358;2;1;BÄ°REYSEL;3;320;9,5
359;2;1;MERKEZÄ°;3;320;9,5
360;3;2;MERKEZÄ°;5;540;14
361;3;0;BÄ°REYSEL;3;300;9,5
362;2;6;BÄ°REYSEL;4;760;20,5
363;4;1;BÄ°REYSEL;5;460;14
364;1;4;BÄ°REYSEL;5;540;14
365;1;2;MERKEZÄ°;3;280;9,5
366;2;1;BÄ°REYSEL;3;300;9,5
367;2;2;BÄ°REYSEL;2;440;11,8
368;4;2;BÄ°REYSEL;3;600;16,5
369;3;1;BÄ°REYSEL;2;380;11,8
370;9;1;BÄ°REYSEL;5;1040;24,5
371;5;1;BÄ°REYSEL;3;620;16,5
372;3;2;BÄ°REYSEL;5;540;14
373;5;2;MERKEZÄ°;7;640;18,5
374;15;1;BÄ°REYSEL;8;1540;35,9
375;5;2;BÄ°REYSEL;7;660;18,5
376;1;1;BÄ°REYSEL;1;200;7
377;3;2;MERKEZÄ°;5;460;14
378;1;2;MERKEZÄ°;3;280;9,5
379;4;2;BÄ°REYSEL;3;580;16,5
380;1;2;BÄ°REYSEL;3;300;9,5
381;3;1;MERKEZÄ°;2;440;11,8
382;17;5;BÄ°REYSEL;11;2140;47
383;2;2;BÄ°REYSEL;2;360;11,8
384;4;2;BÄ°REYSEL;3;600;16,5
385;1;2;BÄ°REYSEL;3;280;9,5
386;3;1;MERKEZÄ°;2;400;11,8
387;5;1;BÄ°REYSEL;3;560;16,5
388;18;1;BÄ°REYSEL;19;1900;42
389;3;1;BÄ°REYSEL;2;400;11,8
390;4;2;BÄ°REYSEL;3;540;16,5
391;11;1;BÄ°REYSEL;6;1300;28,5
392;2;2;BÄ°REYSEL;2;380;11,8
393;3;1;BÄ°REYSEL;2;420;11,8
394;19;1;BÄ°REYSEL;10;2200;43
395;2;6;MERKEZÄ°;4;760;20,5
396;15;4;BÄ°REYSEL;19;1800;42
397;4;2;BÄ°REYSEL;3;620;16,5
398;5;2;BÄ°REYSEL;7;640;18,5
399;2;1;MERKEZÄ°;3;280;9,5
400;1;1;BÄ°REYSEL;1;200;7
401;2;2;BÄ°REYSEL;2;440;11,8
402;3;0;BÄ°REYSEL;3;320;9,5
403;1;1;BÄ°REYSEL;1;220;7
404;4;4;BÄ°REYSEL;4;860;20,5
405;2;2;BÄ°REYSEL;2;380;11,8
406;5;2;BÄ°REYSEL;7;660;18,5
407;3;1;BÄ°REYSEL;2;400;11,8
408;1;1;BÄ°REYSEL;1;180;7
409;2;1;MERKEZÄ°;3;320;9,5
410;3;2;BÄ°REYSEL;5;500;14
411;5;0;BÄ°REYSEL;5;540;14
412;3;2;BÄ°REYSEL;5;540;14
413;2;3;MERKEZÄ°;5;480;14
414;1;1;MERKEZÄ°;1;200;7
415;3;2;BÄ°REYSEL;5;500;14
416;1;1;BÄ°REYSEL;1;200;7
417;13;2;BÄ°REYSEL;15;1640;33,9
418;2;2;MERKEZÄ°;2;380;11,8
419;4;3;BÄ°REYSEL;7;700;18,5
420;1;6;BÄ°REYSEL;7;660;18,5
421;4;1;BÄ°REYSEL;5;500;14
422;1;2;BÄ°REYSEL;3;320;9,5
423;5;1;BÄ°REYSEL;3;640;16,5
424;3;1;BÄ°REYSEL;2;380;11,8
425;4;1;BÄ°REYSEL;5;520;14
426;3;1;BÄ°REYSEL;2;400;11,8
427;4;2;BÄ°REYSEL;3;560;16,5
428;5;1;BÄ°REYSEL;3;560;16,5
429;1;2;BÄ°REYSEL;3;280;9,5
430;1;1;BÄ°REYSEL;1;220;7
431;4;3;BÄ°REYSEL;7;760;18,5
432;10;2;BÄ°REYSEL;6;1200;28,5
433;17;1;BÄ°REYSEL;9;1740;40
434;5;1;BÄ°REYSEL;3;580;16,5
435;5;3;BÄ°REYSEL;4;780;20,5
436;4;1;BÄ°REYSEL;5;460;14
437;2;1;BÄ°REYSEL;3;320;9,5
438;1;1;BÄ°REYSEL;1;180;7
439;2;2;BÄ°REYSEL;2;400;11,8
440;2;1;BÄ°REYSEL;3;280;9,5
441;4;3;BÄ°REYSEL;7;720;18,5
442;3;2;MERKEZÄ°;5;480;14
443;2;1;MERKEZÄ°;3;320;9,5
444;4;1;BÄ°REYSEL;5;520;14
445;1;2;BÄ°REYSEL;3;280;9,5
446;1;1;MERKEZÄ°;1;200;7
447;2;2;BÄ°REYSEL;2;360;11,8
448;2;2;BÄ°REYSEL;2;360;11,8
449;5;1;MERKEZÄ°;3;660;16,5
450;1;1;BÄ°REYSEL;1;220;7
451;13;2;MERKEZÄ°;15;1360;33,9
452;3;2;BÄ°REYSEL;5;460;14
453;2;2;MERKEZÄ°;2;420;11,8
454;5;1;BÄ°REYSEL;3;600;16,5
455;4;1;BÄ°REYSEL;5;520;14
456;4;1;MERKEZÄ°;5;460;14
457;4;1;BÄ°REYSEL;5;480;14
458;5;2;BÄ°REYSEL;7;720;18,5
459;1;1;BÄ°REYSEL;1;220;7
460;10;1;BÄ°REYSEL;11;1000;26,5
461;3;1;MERKEZÄ°;2;380;11,8
462;1;2;MERKEZÄ°;3;280;9,5
463;5;2;BÄ°REYSEL;7;680;18,5
464;5;1;MERKEZÄ°;3;540;16,5
465;4;4;BÄ°REYSEL;4;800;20,5
466;2;1;BÄ°REYSEL;3;300;9,5
467;1;1;BÄ°REYSEL;1;180;7
468;4;2;BÄ°REYSEL;3;640;16,5
469;2;1;BÄ°REYSEL;3;300;9,5
470;3;2;BÄ°REYSEL;5;540;14
471;4;1;MERKEZÄ°;5;480;14
472;4;2;BÄ°REYSEL;3;640;16,5
473;1;6;BÄ°REYSEL;7;660;18,5
474;1;2;BÄ°REYSEL;3;300;9,5
475;4;2;BÄ°REYSEL;3;640;16,5
476;2;2;BÄ°REYSEL;2;380;11,8
477;3;2;BÄ°REYSEL;5;520;14
478;5;1;BÄ°REYSEL;3;620;16,5
479;3;1;MERKEZÄ°;2;380;11,8
480;2;2;MERKEZÄ°;2;440;11,8
481;4;1;MERKEZÄ°;5;480;14
482;4;2;BÄ°REYSEL;3;660;16,5
483;2;6;BÄ°REYSEL;4;800;20,5
484;2;1;BÄ°REYSEL;3;320;9,5
485;4;2;BÄ°REYSEL;3;640;16,5
486;5;2;MERKEZÄ°;7;700;18,5
487;2;2;BÄ°REYSEL;2;380;11,8
488;1;1;BÄ°REYSEL;1;220;7
489;10;1;BÄ°REYSEL;11;1040;26,5
490;4;2;BÄ°REYSEL;3;600;16,5
491;14;2;MERKEZÄ°;8;1640;35,9
492;4;2;BÄ°REYSEL;3;640;16,5
493;4;2;BÄ°REYSEL;3;560;16,5
494;2;4;BÄ°REYSEL;3;560;16,5
495;4;2;MERKEZÄ°;3;580;16,5
496;1;1;MERKEZÄ°;1;180;7
497;2;1;BÄ°REYSEL;3;320;9,5
498;1;1;BÄ°REYSEL;1;220;7
499;2;1;BÄ°REYSEL;3;280;9,5
500;4;1;BÄ°REYSEL;5;520;14
501;5;1;MERKEZÄ°;3;620;16,5
502;4;5;MERKEZÄ°;9;840;22,5
503;2;1;BÄ°REYSEL;3;280;9,5
504;13;1;BÄ°REYSEL;7;1480;32
505;1;1;BÄ°REYSEL;1;180;7
506;2;2;BÄ°REYSEL;2;400;11,8
507;10;2;BÄ°REYSEL;6;1240;28,5
508;3;1;MERKEZÄ°;2;360;11,8
509;8;2;BÄ°REYSEL;5;980;24,5
510;4;1;BÄ°REYSEL;5;500;14
511;5;6;BÄ°REYSEL;11;1060;26,5
512;4;5;MERKEZÄ°;9;860;22,5
513;5;1;MERKEZÄ°;3;600;16,5
514;2;4;BÄ°REYSEL;3;660;16,5
515;3;2;MERKEZÄ°;5;460;14
516;1;4;BÄ°REYSEL;5;500;14
517;4;2;BÄ°REYSEL;3;600;16,5
518;3;2;BÄ°REYSEL;5;540;14
519;1;1;BÄ°REYSEL;1;200;7
520;1;1;BÄ°REYSEL;1;180;7
521;2;1;BÄ°REYSEL;3;320;9,5
522;4;2;BÄ°REYSEL;3;600;16,5
523;0;1;BÄ°REYSEL;1;100;3,5
524;2;2;BÄ°REYSEL;2;420;11,8
525;5;1;BÄ°REYSEL;3;640;16,5
526;4;2;BÄ°REYSEL;3;620;16,5
527;4;1;MERKEZÄ°;5;460;14
528;3;2;BÄ°REYSEL;5;540;14
529;3;6;MERKEZÄ°;9;840;22,5
530;4;4;MERKEZÄ°;4;880;20,5
531;3;1;BÄ°REYSEL;2;440;11,8
532;4;2;BÄ°REYSEL;3;640;16,5
533;2;2;BÄ°REYSEL;2;440;11,8
534;5;1;MERKEZÄ°;3;560;16,5
535;4;6;BÄ°REYSEL;5;980;24,5
536;3;1;BÄ°REYSEL;2;420;11,8
537;1;2;BÄ°REYSEL;3;320;9,5
538;1;1;BÄ°REYSEL;1;200;7
539;1;2;BÄ°REYSEL;3;320;9,5
540;3;2;MERKEZÄ°;5;500;14
541;5;2;BÄ°REYSEL;7;720;18,5
542;3;2;BÄ°REYSEL;5;480;14
543;4;2;MERKEZÄ°;3;640;16,5
544;4;1;MERKEZÄ°;5;520;14
545;19;2;MERKEZÄ°;10;2200;45
546;1;2;BÄ°REYSEL;3;300;9,5
547;15;2;BÄ°REYSEL;17;1640;38
548;4;2;BÄ°REYSEL;3;620;16,5
549;13;1;BÄ°REYSEL;7;1280;32
550;3;1;BÄ°REYSEL;2;380;11,8
551;3;1;BÄ°REYSEL;2;420;11,8
552;5;2;BÄ°REYSEL;7;680;18,5
553;5;1;BÄ°REYSEL;3;560;16,5
554;5;2;BÄ°REYSEL;7;760;18,5
555;5;4;BÄ°REYSEL;9;880;22,5
556;3;2;BÄ°REYSEL;5;500;14
557;3;2;BÄ°REYSEL;5;460;14
558;5;1;MERKEZÄ°;3;560;16,5
559;3;2;BÄ°REYSEL;5;520;14
560;4;2;BÄ°REYSEL;3;600;16,5
561;5;2;BÄ°REYSEL;7;640;18,5
562;1;1;BÄ°REYSEL;1;200;7
563;4;2;BÄ°REYSEL;3;620;16,5
564;3;5;BÄ°REYSEL;4;880;20,5
565;4;6;BÄ°REYSEL;5;1100;24,5
566;2;4;BÄ°REYSEL;3;620;16,5
567;1;1;BÄ°REYSEL;1;220;7
568;5;1;MERKEZÄ°;3;600;16,5
569;4;1;BÄ°REYSEL;5;480;14
570;1;1;BÄ°REYSEL;1;200;7
571;4;2;BÄ°REYSEL;3;600;16,5
